  0.1000    0.0002
  0.1250    0.0011
  0.1500    0.0037
  0.1750    0.0089
  0.2000    0.0172
  0.3000    0.0772
  0.4000    0.1588
  0.5000    0.2416
  0.6000    0.3169
  0.7000    0.3827
  0.8000    0.4393
  0.9000    0.4880
  1.0000    0.5298
  2.0000    0.7493
  3.0000    0.8315
  4.0000    0.8736
  5.0000    0.8989
  6.0000    0.9158
  7.0000    0.9279
  8.0000    0.9370
  9.0000    0.9440
 10.0000    0.9497
 20.0000    0.9749
 30.0000    0.9833
 40.0000    0.9875
 50.0000    0.9900
 60.0000    0.9917
 70.0000    0.9928
 80.0000    0.9937
 90.0000    0.9944
100.0000    0.9950
