    0.10   0.0033   0.3683   1.2355   2.3063
    0.12   0.0120   0.5196   1.3990   2.3775
    0.15   0.0277   0.6461   1.5072   2.4067
    0.18   0.0499   0.7492   1.5806   2.4140
    0.20   0.0770   0.8330   1.6315   2.4093
    0.30   0.2039   1.0433   1.7220   2.3461
    0.40   0.3221   1.1479   1.7391   2.2700
    0.50   0.4180   1.2052   1.7325   2.2001
    0.60   0.4937   1.2384   1.7174   2.1388
    0.70   0.5539   1.2584   1.6993   2.0853
    0.80   0.6023   1.2704   1.6807   2.0384
    0.90   0.6418   1.2776   1.6624   1.9969
    1.00   0.6745   1.2816   1.6449   1.9600
    2.00   0.8326   1.2686   1.5174   1.7308
    3.00   0.8881   1.2439   1.4435   1.6140
    4.00   0.9161   1.2236   1.3946   1.5401
    5.00   0.9329   1.2074   1.3591   1.4880
    6.00   0.9441   1.1943   1.3320   1.4487
    7.00   0.9521   1.1834   1.3102   1.4176
    8.00   0.9581   1.1742   1.2924   1.3923
    9.00   0.9628   1.1663   1.2773   1.3711
   10.00   0.9665   1.1594   1.2644   1.3530
   20.00   0.9833   1.1189   1.1919   1.2532
   30.00   0.9889   1.0992   1.1584   1.2079
   40.00   0.9917   1.0871   1.1380   1.1807
   50.00   0.9933   1.0786   1.1240   1.1619
   60.00   0.9944   1.0722   1.1135   1.1481
   70.00   0.9952   1.0671   1.1054   1.1372
   80.00   0.9958   1.0630   1.0987   1.1285
   90.00   0.9963   1.0596   1.0932   1.1212
  100.00   0.9967   1.0567   1.0886   1.1151
